@relation 'AT: CensusIncome-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-Ntest-Clast-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Add-Ntest-C14-weka.filters.unsupervised.attribute.Remove-R2-3,5-9,13-14-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Center_principal components'

@attribute '1    capital-gain-0.002capital-loss+0    age+0    hours-per-week+0    education-num' numeric
@attribute income {>50K,<=50K}

@data
1096.500669,<=50K
-1077.497996,<=50K
-1077.496349,<=50K
-1077.494282,<=50K
-1077.497612,<=50K
-1077.496279,<=50K
-1077.498088,<=50K
-1077.493685,>50K
13006.482813,>50K
4100.496544,>50K
-1077.491206,>50K
-1077.497325,>50K
-1077.49964,<=50K
-1077.49577,<=50K
-1077.495976,>50K
-1077.496481,<=50K
-1077.498869,<=50K
-1077.497209,<=50K
-1077.495123,<=50K
-1077.494762,>50K
-1077.493141,>50K
-1077.496675,<=50K
-1077.49695,<=50K
-1081.028661,<=50K
-1077.493336,<=50K
-1077.493596,>50K
-1077.499074,<=50K
-1077.491389,>50K
-1077.490962,<=50K
-1077.494771,<=50K
-1077.496799,<=50K
-1077.498364,<=50K
-1079.93121,<=50K
-1077.497454,<=50K
-1077.501878,<=50K
-1077.495,<=50K
-1077.498745,<=50K
-1077.50104,<=50K
-1077.497572,>50K
-1077.494786,<=50K
-1077.49713,<=50K
-1077.494026,<=50K
-1077.496875,<=50K
-1077.494771,<=50K
-1077.498869,<=50K
-1077.493452,>50K
-1077.494459,<=50K
-1077.495274,<=50K
-1077.495833,<=50K
-1077.497161,<=50K
-1077.498171,<=50K
-1077.500529,<=50K
-1080.782904,>50K
-1077.49249,>50K
-1077.492436,<=50K
-1077.495589,>50K
-1077.495457,<=50K
-1077.496694,<=50K
-1077.49487,<=50K
3935.494902,<=50K
1329.499024,<=50K
-1077.497423,<=50K
-1077.494914,<=50K
-1077.49482,>50K
-1077.495238,<=50K
-1077.496636,<=50K
-1077.49774,<=50K
-1077.494197,>50K
-1077.493417,>50K
-1077.498171,<=50K
-1077.50008,<=50K
-1077.497182,<=50K
-1077.493536,>50K
-1077.498458,<=50K
-1077.493046,<=50K
-1077.497927,<=50K
-1077.495934,<=50K
-1077.497298,<=50K
-1077.501663,<=50K
-1077.497566,<=50K
-1077.500529,<=50K
-1077.494169,<=50K
-1077.495201,<=50K
-1077.492287,<=50K
13266.48276,>50K
-1077.494852,<=50K
-1077.494771,>50K
-1077.495541,<=50K
-1077.497667,<=50K
-1077.494022,>50K
-1077.493538,<=50K
-1077.496449,<=50K
-1077.499707,<=50K
-1080.219661,<=50K
-1077.496752,>50K
-1077.496286,<=50K
-1080.782718,>50K
-1077.495401,>50K
-1077.494786,<=50K
-1077.497209,<=50K
-1077.490684,>50K
13946.484521,>50K
-1077.493533,<=50K
-1077.498888,<=50K
-1077.49764,<=50K
6610.491132,>50K
33017.447758,<=50K
-1077.497582,<=50K
-1077.497353,<=50K
-1077.495775,<=50K
-1077.498186,<=50K
-1077.496092,>50K
-1080.757228,>50K
2986.49413,<=50K
